day,sky,hum,tmorn,tday,teve,tnight,tmin,tmax
2018-06-02,sky is clear,51,21.17,32.13,28.29,14.61,14.61,32.13
2018-06-03,scattered clouds,42,20.18,32.08,29.67,15.81,15.81,32.24
2018-06-04,overcast clouds,51,21.36,28.5,24.36,16.68,16.68,28.5
2018-06-05,sky is clear,56,22.16,29.84,27.98,15.72,15.72,30.14
2018-06-06,sky is clear,56,20.57,30.67,27.97,15.02,15.02,30.82
2018-06-07,sky is clear,53,18.4,30.13,28.42,15.73,15.73,30.73
2018-06-08,few clouds,64,20.38,28.86,28.05,16.88,16.88,29.85
2018-06-09,broken clouds,53,22.45,29.99,25.49,20.44,20.44,29.99
2018-06-10,broken clouds,60,19.02,22.74,22.4,18.11,18.11,23.31
2018-06-11,light rain,78,18.34,19.82,18.76,15.78,15.78,20.2
2018-06-12,light rain,60,19.58,25.31,22.17,15.86,15.86,25.31
2018-06-13,moderate rain,66,21.38,28.93,25.81,17.89,17.89,28.93
2018-06-14,moderate rain,86,19.26,23.01,24.43,18.14,18.14,25.01
2018-06-15,few clouds,67,19.6,24.96,23.2,15.91,15.91,25.19
2018-06-16,sky is clear,60,19.59,28.28,27.41,16.65,16.65,29.09
2018-06-17,broken clouds,52,20.58,30.23,27.81,18.64,18.64,30.23
2018-06-18,sky is clear,60,21.98,30.66,29,16.72,16.72,31
2018-06-19,sky is clear,57,21.4,29.2,26.09,17.25,17.25,29.2
2018-06-20,light rain,60,20.38,27.55,27.05,19.6,19.6,28.54
2018-06-21,sky is clear,45,21.16,30.8,27.74,17.73,17.73,30.8
2018-06-22,scattered clouds,40,21.76,34.15,29.18,17.51,17.51,34.15
2018-06-23,broken clouds,53,22.58,29.7,28.26,18.07,18.07,30
2018-06-24,sky is clear,46,21.61,33.04,30.94,19.1,19.1,33.06
2018-06-25,broken clouds,51,23.39,32.47,31.78,22.35,22.35,33.98
2018-06-26,very heavy rain,99,20.41,18.91,21.68,19.68,18.91,22.25
2018-06-27,light rain,93,20.2,23.15,22.61,20.1,20.1,23.91
2018-06-28,heavy intensity rain,100,24.75,24.53,20.01,18.27,18.27,24.96
2018-06-29,light rain,91,23.19,25.48,25.61,18.02,18.02,26.21
2018-06-30,heavy intensity rain,88,23.39,28.28,21.67,19.52,19.52,28.38
2018-07-01,heavy intensity rain,100,21.99,23.18,21.13,21.65,20.55,24.15
2018-07-02,heavy intensity rain,99,21.61,23.34,24.69,22.22,21.61,24.85
2018-07-03,heavy intensity rain,94,25,27.5,27.03,21.22,21.22,28.43
2018-07-04,moderate rain,85,26.39,29.96,28.52,20.66,20.66,30.2
2018-07-05,moderate rain,90,24.62,26.96,23.4,19.46,19.46,26.96
2018-07-06,few clouds,76,23.2,26.07,23.49,18.27,18.27,26.22
2018-07-07,sky is clear,64,21.61,26.2,25.14,17.49,17.49,26.7
2018-07-08,broken clouds,61,20.59,27.57,27,21.11,20.59,29.22
2018-07-09,moderate rain,68,20.8,24.73,23.56,20.05,20.05,24.73
2018-07-10,moderate rain,94,23.21,26.05,25.14,21.08,21.08,26.74
2018-07-11,heavy intensity rain,99,25.41,25.1,24.9,22.77,22.77,25.41
2018-07-12,light rain,95,26.99,28.23,26.07,23.86,23.86,28.23
2018-07-13,light rain,93,26.01,27.62,27.75,22.82,22.82,28.54
2018-07-14,light rain,75,26.2,31.13,28.99,22.64,22.64,31.26
2018-07-15,light rain,71,26.39,31.77,29.8,20.92,20.92,32.2
2018-07-16,sky is clear,67,25.96,33.57,30.63,21.04,21.04,33.57
2018-07-17,sky is clear,68,25.48,33.38,30.46,20.9,20.9,33.38
2018-07-18,sky is clear,70,25.4,31.7,30.94,21.48,21.48,32.43
2018-07-19,sky is clear,66,26,33.65,31.76,21.64,21.64,33.7
2018-07-20,sky is clear,64,25.17,34.4,32.2,20.92,20.92,34.43
2018-07-21,sky is clear,66,27.39,35.89,33.67,24.81,24.81,35.89
2018-07-22,sky is clear,64,28,36.87,33.92,23.33,23.33,36.87
2018-07-23,scattered clouds,67,29.58,33.77,33.11,26.39,26.39,34.31
2018-07-24,moderate rain,58,29.78,37.72,33.17,26.06,26.06,37.72
2018-07-25,light rain,69,28.85,32.07,31.18,25.51,25.51,32.07
2018-07-26,moderate rain,71,28.2,32.76,31.67,25.63,25.63,32.76
2018-07-27,moderate rain,65,28.72,35.04,31.52,25.64,25.64,35.76
2018-07-28,moderate rain,71,28.49,33.89,29.51,26,26,33.89
